"id","rated","created_at","last_move_at","turns","victory_status","winner","increment_code","white_id","white_rating","black_id","black_rating","moves","opening_eco","opening_name","opening_ply","time","increment","modality","duration","diff","diff_num","winner_num","rated_num"
"cr5iuIrQ","TRUE",1425385753435,1425386308759,3,"outoftime","white","6+8","dmka",1362,"arfhan",1265,"e4 d5 e5","B01","Scandinavian Defense",2,6,8,"Light",555324,97,1,1,1
"WiuVyh8F","TRUE",1416400653558,1416401289197,43,"mate","white","8+8","vladimir_shindin",1466,"spitfire999",1500,"d4 b5 e4 d5 e5 h5 Bxb5+ c6 Ba4 Bd7 Nc3 f5 Bg5 Rh6 h4 g6 Bxh6 Nxh6 Qd3 e6 Qg3 Na6 Qxg6+ Ke7 Qxh5 Nb4 Bb3 Nd3+ cxd3 Bg7 Nf3 a5 Na4 Rb8 Nc5 Rb5 Ng5 Rb4 O-O Rxd4 g3 Ng8 Qf7#","A40","Polish Defense",2,8,8,"Light",635639,-34,-1,1,1
"mA1wYS13","TRUE",1421929007323,1421930366518,40,"mate","black","12+20","balage77",1300,"aran09",1374,"e4 e5 Qf3 Nc6 c3 Nf6 Bc4 d6 g4 Bxg4 Qg3 Qd7 f3 Be6 Ne2 Nh5 Qh4 g6 b3 Be7 Qf2 Bxc4 bxc4 Qh3 Qg1 Bh4+ Kd1 Qxf3 Qf1 Bf2 d4 exd4 Nd2 Qe3 Rb1 dxc3 Nb3 Qd3+ Nd2 c2#","C20","King's Pawn Game: Napoleon Attack",3,12,20,"Fast",1359195,-74,-1,-1,1
"qmEKgMQ7","TRUE",1421915967250,1421917449607,63,"outoftime","white","15+0","chessastur",1320,"aran09",1391,"b4 d5 d4 g6 c3 Bg7 Nf3 Nc6 Bf4 f6 h3 e5 dxe5 fxe5 Bc1 Be6 e3 Qd6 Bb5 O-O-O Qa4 Kb8 Ng5 Nh6 Be2 Bd7 Qb3 Rhf8 Nf3 e4 Ng5 Rxf2 Kxf2 Qf6+ Ke1 Qxg5 g4 Rf8 Na3 Qh4+ Kd2 Be6 Qa4 Nxg4 Bb2 Qg5 hxg4 Bxg4 Rhg1 Ne5 Qb3 Nf3+ Bxf3 Rxf3 Nc2 Rf2+ Kc1 Qh4 Ba3 Be2 Re1 Bc4 Qa4","A00","Polish Opening",1,15,0,"Fast",1482357,-71,-1,1,1
"5gudvgsx","TRUE",1421421327334,1421422170208,32,"mate","black","15+2","siig",1306,"aran09",1400,"e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 d3 Bc5 Qf3 Be6 Nxe6 fxe6 Qh5+ g6 Qh3 Qf6 O-O Nd4 Bb3 O-O Nc3 Nxb3 axb3 Bxf2+ Rxf2 Qxf2+ Kh1 Qf1#","C57","Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation",8,15,2,"Fast",842874,-94,-1,-1,1
"5pJTtJLG","TRUE",1421261415489,1421262764098,101,"resign","white","29+30","jmen",1399,"aran09",1399,"d4 d5 c4 Nf6 Nc3 Nc6 Nf3 g6 h3 Bg7 Bf4 O-O e3 Nh5 Bh2 Re8 g4 Nf6 Nb5 Qd7 Nxc7 Qe6 Nxa8 Ne4 Nc7 Qd7 Nxe8 Qxe8 Bd3 Nd6 Bxd6 exd6 O-O h5 Nh2 Nb4 Bc2 Be6 a3 Nxc2 Qxc2 Qd7 b3 f5 gxh5 gxh5 f4 Bf6 Qf2 dxc4 b4 c3 Qg3+ Kf8 Qg6 Bg7 Qxh5 Qc6 Qe2 Bc4 Qc2 Be6 Rfc1 Qe8 Qxc3 Qg6+ Kf2 Bd5 Rg1 Qh6 Qc8+ Kf7 Qc7+ Kf8 Qc8+ Kf7 Qxf5+ Qf6 Qxf6+ Bxf6 Ng4 Bh4+ Ke2 Bc4+ Kd2 Bd8 Rac1 Bd5 Nf2 a5 e4 Bb3 bxa5 Bxa5+ Kd3 Bb6 Rb1 Bxd4 Kxd4 Bc2 Rxb7+","D06","Queen's Gambit Refused: Marshall Defense",4,29,30,"Fast",1348609,0,0,1,1
"HgZqaU8G","TRUE",1421147059112,1421147408261,19,"resign","white","15+9","aran09",1373,"dimonnn68",1286,"d4 d5 Nf3 Nc6 e3 Nf6 c4 dxc4 Bxc4 Bf5 Qb3 e6 O-O b6 Rd1 Na5 Qa4+ Nd7 Bb5","D02","Queen's Pawn Game: Chigorin Variation",4,15,9,"Fast",349149,87,1,1,1
"BMy4i4Y6","TRUE",1421089967075,1421090517685,24,"mate","black","15+5","iriquois",1348,"aran09",1353,"e3 e5 Be2 Nc6 Nf3 d5 O-O Be6 d4 Bd6 Na3 e4 Nd2 Nf6 c3 h5 h3 Qd7 b4 Bxh3 gxh3 Qxh3 b5 Qh2#","A00","Van't Kruijs Opening",1,15,5,"Fast",550610,-5,-1,-1,1
"hfih2smr","TRUE",1421086618041,1421087467495,66,"mate","black","5+8","aran09",1374,"shahrizar",1377,"d4 b6 e4 e6 Nc3 Bb7 Bd3 c6 Nf3 d5 O-O dxe4 Bxe4 Nf6 Be3 Nxe4 Nxe4 g6 Nfg5 Qe7 Qf3 Bg7 Rad1 Nd7 c4 Nf6 Nc3 O-O c5 b5 Rfe1 b4 Nce4 Nxe4 Nxe4 f5 Nd6 Rab8 a3 bxa3 bxa3 Qc7 Rb1 Ba6 Bf4 Rxb1 Rxb1 Qa5 Qxc6 Bd3 Rc1 Qxa3 Ne8 Qxc1+ Bxc1 Bxd4 Qxe6+ Kh8 Bh6 Rg8 Nf6 Rb8 Qd6 Rb1+ Bc1 Rxc1#","A40","English Defense #2",2,5,8,"Light",849454,-3,-1,-1,1
"z4zn5SuK","TRUE",1420971352767,1420971721334,29,"mate","white","8+8","aran09",1324,"max2702",1311,"d4 d5 Nf3 Nf6 Bf4 e6 Nc3 Bb4 Qd3 Nc6 O-O-O O-O e4 Bxc3 Qxc3 Nxe4 Qe1 h6 c4 Re8 Ne5 Nxe5 Bxe5 Bd7 f3 Nd6 Qg3 Ba4 Qxg7#","D02","Queen's Pawn Game: London System",5,8,8,"Light",368567,13,1,1,1
